VARIABLES = X, Y, Z
ZONE N =      1576 E =      2828 F=FEPOINT ET=TRIANGLE
        5.6725983808        0.1270090251        0.4530257510
        4.9701965047        0.3007539402        0.4280021756
        2.2985349046        1.8138428527        0.4238313720
        0.9341093072       10.4935612351        0.4140998807
        2.3756547112       12.2550385964        0.1824311808
        2.3994621505       12.2758934310        0.4165173977
        3.9676708176       13.3091187760        0.4423208808
        4.5747608891       13.5664461663        0.4537733520
        3.4237072976       13.0174853973        1.1200732361
        2.7476046215       12.5603177558        1.0771909328
        5.1903614967       13.7620417395        0.4620992142
        4.2730730748       13.4470046956        0.7508708448
        3.6966828365       13.1715553726        0.7684137921
        0.0175865767        7.4958858601        1.1164003705
        0.0176032546        6.5038793600        1.3068348589
        0.0059487035        6.7114753705        0.8341696287
        0.2566614776        5.1218664658        0.4523329777
        0.0335194681        7.6842141471        0.4086271742
        6.3953210887       13.9738341975        0.3980244934
        1.1068078667       10.7776032720        1.0961935731
        8.5025747270       13.8368318094        0.9545164306
        4.3398599096        0.5251521485        0.4442514626
        0.0446488183        6.2106395382        0.4811425518
        0.1229818126        5.6936230060        0.4574483520
        6.3477071427        0.0304581192        0.7715721477
       12.9197045606        3.2640800444        0.4494103838
       13.7694980697        8.7815431187        0.7922460686
        8.9069759117       13.7352388875        0.4804300832
        2.1653331197       12.0622125752        1.3661837786
       11.7330051391       12.1573891024        0.4450002658
       10.8912354349        1.1812126014        1.2051487292
        5.3833039179        0.1892515993        0.7502591944
       13.6885796132        4.9353201804        0.6399258088
       13.4887268313        4.3738956403        1.7083961508
       11.9678781334        2.0684498531        0.7192538314
        2.7443993370        1.4421350325        0.4573184547
        4.1635557173        0.6004231522        0.8605291549
       13.8361674499        5.4944055669        0.4416790635
       13.8330631158        5.4803788446        0.8513557018
       13.9543560598        6.2019199326        0.4403469272
       13.2378828393        3.8237100757        0.4230482395
       13.9326850927        6.0315592914        0.7346461673
        2.9935838165        1.2599103348        0.7667874013
        4.8274079497       13.6543101658        0.8910397823
        5.4917555900       13.8355832816        0.7777545983
        6.4826998736       13.9808595874        0.6500256578
        7.8873294666       13.9435327044        0.7625184470
        9.8127363701       13.4100323020        0.7385385064
        9.2577273362       13.6259087887        0.8439559911
        0.9383107873        3.4991538325        0.7570952166
        0.9006195926       10.4347574362        0.7096494176
        0.0698947511        7.9867326078        0.6980600949
        1.5669711634       11.4138642549        1.0981566792
        1.6856139318       11.5560180770        0.7037617671
        2.0833772906       11.9826520181        0.8768634026
        0.0598979811        6.0862254287        0.8576673220
        0.1688711375        5.4717073371        0.7970442049
        0.0066419642        7.3048661732        0.7060666458
        9.0417415883        0.3043826807        0.7598206609
        9.6418367156        0.5176625537        0.8109620958
       11.2370756626        1.4279994769        0.4399659442
       10.3485207613        0.8528536123        0.7959749759
       10.9850147568        1.2450319385        0.7635843931
       11.5131195917       12.3508645611        0.7238069340
       11.9875297649       11.9116745458        0.8474835084
       10.4451105234       13.0935386666        0.8046314423
       13.2241646630       10.2030882360        0.7945711371
       11.4907624679        1.6303582562        0.7401638875
        4.6803943669        0.3954992840        0.7177945292
       12.7401155240       11.0063791347        0.8131474135
       13.5586926433        9.4461297617        0.7691906134
       12.3694543461       11.4909865314        0.7700588545
        3.5572295529        0.9051389147        0.7324467951
        2.4904737963       12.3538932954        0.7020011927
        7.0000000000        0.0000000000        7.5508673087
        8.2216969960        0.1074346974        7.5508673087
        7.6132058717        0.0269104008        6.9346342197
        8.1106771484       13.9113237713        7.5508673087
        6.8874101955       13.9990944797        7.5508673087
        7.5009695707       13.9820505218        6.9346341882
        9.2998511695       13.6114056447        7.5508673087
        8.7118450784       13.7874580240        6.9346341882
       10.4184298164       13.1085462747        7.5508673087
        9.8701744276       13.3845202447        6.9346341882
       11.4320776159       12.4181812453        7.5508673087
       10.9404019724       12.7856056118        6.9346341882
       12.3096800129       11.5615017440        7.5508673087
       11.8896764071       12.0090981857        6.9346341882
       13.0242984515       10.5648040855        7.5508673087
       12.6888591574       11.0788333487        6.9346341882
       13.5539972703        9.4586825295        7.5508673087
       13.3134188076       10.0233661637        6.9346341882
       13.8825170319        8.2770901711        7.5508673087
       13.7441841074        8.8750948579        6.9346341882
       13.9997736162        7.0562967288        7.5508673087
       13.9679324456        7.6692663393        6.9346341882
       13.9021677587        5.8337752232        7.5508673087
       13.9777957269        6.4428942706        6.9346341882
       13.5926955325        4.6470517185        7.5508673087
       13.7734711915        5.2336229117        6.9346341882
       13.0808563817        3.5325534373        7.5508673087
       13.3612307092        4.0785716054        6.9346341882
       12.3823615300        2.5244906033        7.5508673087
       12.7537282602        3.0131953763        6.9346341882
       11.5186517151        1.6538063374        7.5508673087
       11.9696115132        2.0701966157        6.9346341882
       10.5162390514        0.9472268394        7.5508673087
       11.0329494237        1.2785212623        6.9346341882
        9.4058932245        0.4264410102        7.5508673087
        9.9724934219        0.6624702875        6.9346341882
        8.8207948700        0.2409537625        6.9346341882
        6.3969913059        0.0260211848        6.9324976706
        4.6325969413        0.4124812898        7.5508673087
        5.7984657548        0.1038912815        7.5508673087
        5.2088731709        0.2330313521        6.9324976828
        3.5370002785        0.9166100792        7.5508673087
        4.0739214631        0.6409069518        6.9324976828
        2.5441966057        1.6013134828        7.5508673087
        3.0258251945        1.2375409229        6.9324976828
        1.6836555347        2.4462672974        7.5508673087
        2.0956952394        2.0052232467        6.9324976828
        0.9809206974        3.4263905714        7.5508673087
        1.3111408518        2.9211666383        6.9324976828
        0.4568515279        4.5125900877        7.5508673087
        0.6954501339        3.9581829466        6.9324976828
        0.1270040878        5.6726239450        7.5508673087
        0.2668987701        5.0854901861        6.9324976828
        0.0011693121        6.8720586005        7.5508673087
        0.0381221976        6.2704402260        6.9296319791
        3.3868614557       12.9954340844        7.5508673087
        2.3959432698       12.2728229275        7.5508673087
        2.8650618574       12.6482109165        6.9260838162
        1.5463494931       11.3883591635        7.5508673087
        1.2205000414       10.9493518745        6.9781122645
        1.9541184105       11.8517088727        6.9221315509
        4.4886871956       13.5340116314        7.5508673087
        3.9259566490       13.2888995441        6.9346341882
        5.6675992573       13.8720235929        7.5508673087
        5.0707264374       13.7288857562        6.9346341882
        6.2747164879       13.9623245994        6.9346341882
        1.4929231599       11.3211230805        4.9896195759
        0.0015176057        6.8542461760        5.0320439382
        0.0005589983        6.9115372180        4.3496092617
        0.0003651960        6.9284974769        6.3128155115
        0.0013335132        6.8633712843        5.6847100806
        8.1106771484       13.9113237713        6.3162077588
        9.2998511695       13.6114056447        6.3162077588
       10.4184298164       13.1085462747        6.3162077588
       13.0242984515       10.5648040855        6.3162077588
       12.3096800129       11.5615017440        6.3162077588
       12.6888591574       11.0788333487        5.6953901524
       11.4320776159       12.4181812453        6.3162077588
       13.5539972703        9.4586825295        6.3162077588
       13.3134188076       10.0233661637        5.6953901524
       13.8825170319        8.2770901711        6.3162077588
       13.7441841074        8.8750948579        5.6953901524
       13.9021677587        5.8337752232        6.3162077588
       13.9997736162        7.0562967288        6.3162077588
       13.9777957269        6.4428942706        5.6953901524
       13.0808563817        3.5325534373        6.3162077588
       13.5926955325        4.6470517185        6.3162077588
       13.3612307092        4.0785716054        5.6953901524
       11.5186517151        1.6538063374        6.3162077588
       12.3823615300        2.5244906033        6.3162077588
       11.9696115132        2.0701966157        5.6953901524
       10.5162390514        0.9472268394        6.3162077588
       11.0329494237        1.2785212623        5.6953901524
        9.4058932245        0.4264410102        6.3162077588
        9.9724934219        0.6624702875        5.6953901524
        8.2216969363        0.1074346869        6.3162077715
        5.7984657384        0.1038912843        6.3119514364
        7.0089920020        0.0000057754        6.3140800774
        6.4051761384        0.0253183174        5.6909314135
        4.6325969413        0.4124812898        6.3119514457
        5.2088731460        0.2330313587        5.6889492720
        3.5370002785        0.9166100792        6.3119514457
        0.0007184244        6.8997132804        3.7077004651
        0.1202190372        5.7082516096        3.3782433499
        0.0006884826        6.9018252480        3.0667482226
        1.6836555347        2.4462672974        6.3119514457
        3.3868614557       12.9954340844        6.3162077588
        4.4886871956       13.5340116314        6.3162077588
        3.9198904174       13.2859307154        5.6768286719
        1.5022972642       11.3330433449        3.0667482226
        1.4824321121       11.3077191880        6.3020666834
        1.4962902541       11.3254108514        4.3496092617
        2.3255268052       12.2104990501        6.2273101196
        1.5252992993       11.3620697195        5.6747327683
        0.9809206974        3.4263905714        6.3119514457
        0.4314570221        4.5804456718        6.2799821532
